Who does Mario save?,Sonic,Princess Peach,John Cena,Princess Peach,1
What is arachnophobia?,Fear of spiders,Fear of bears,Fear of your parents,Fear of spiders,2
When was the battle of hastings?,1914,1066,2020,1066,3
Which is a dance in the game fortnite?,The waltz,The floss,The duggy,The floss,4
How many pairs of ribs would the normal human have?,10,12,14,12,5
If you subtract the number of sides on a heptagon from the number of sides on a dodecagon what answer do you get?,3,4,5,5,6
Which is the fighter created in UK?,Bf109,Spitfire,P-51,Spitfire,7
Which medium does sound travel faster?,Air,Water,Solid,Solid,8
The French number 'neuf' is what in English?,19,9,7,9,9
Which number lies directly opposite the number three on a standard die?,4,5,2,4,10
What is the largest US state by size?,Texas,Californa,New Mexico,Texas,11
Who created Facebook?,Mark Zuckerberg,Peter Jones,Tom Anderson,Mark Zuckerberg,12
What colour to do you get when you mix red and white?,Red,Pink,White,Pink,13
